game_id,class_alias,attacker,defender,turn,success,compilable,attempts
223,Complex,haiku,4.1 mini,1,1.0,1,2
223,Complex,haiku,4.1 mini,2,1.0,1,2
223,Complex,haiku,4.1 mini,3,,3,3
223,Complex,haiku,4.1 mini,4,3.0,3,3
223,Complex,haiku,4.1 mini,5,1.0,1,1
223,Complex,haiku,4.1 mini,6,2.0,2,3
223,Complex,haiku,4.1 mini,7,,3,3
223,Complex,haiku,4.1 mini,8,,3,4
223,Complex,haiku,4.1 mini,9,,3,4
223,Complex,haiku,4.1 mini,10,1.0,1,1
223,Complex,haiku,4.1 mini,11,,3,3
223,Complex,haiku,4.1 mini,12,,3,3
223,Complex,haiku,4.1 mini,13,3.0,3,3
223,Complex,haiku,4.1 mini,14,3.0,3,3
223,Complex,haiku,4.1 mini,15,,3,3
223,Complex,haiku,4.1 mini,16,,3,3
223,Complex,haiku,4.1 mini,17,,3,4
223,Complex,haiku,4.1 mini,18,,3,4
223,Complex,haiku,4.1 mini,19,,3,3
223,Complex,haiku,4.1 mini,20,,3,3
227,Complex,4.1 mini,4.1 mini,1,1.0,1,1
227,Complex,4.1 mini,4.1 mini,2,1.0,1,1
227,Complex,4.1 mini,4.1 mini,3,1.0,1,1
227,Complex,4.1 mini,4.1 mini,4,1.0,1,1
227,Complex,4.1 mini,4.1 mini,5,1.0,1,1
227,Complex,4.1 mini,4.1 mini,6,2.0,2,2
227,Complex,4.1 mini,4.1 mini,7,1.0,1,2
227,Complex,4.1 mini,4.1 mini,8,,3,3
227,Complex,4.1 mini,4.1 mini,9,,3,3
227,Complex,4.1 mini,4.1 mini,10,,3,3
227,Complex,4.1 mini,4.1 mini,11,,3,3
227,Complex,4.1 mini,4.1 mini,12,,3,3
227,Complex,4.1 mini,4.1 mini,13,1.0,1,1
227,Complex,4.1 mini,4.1 mini,14,,3,3
227,Complex,4.1 mini,4.1 mini,15,,3,3
227,Complex,4.1 mini,4.1 mini,16,,3,3
227,Complex,4.1 mini,4.1 mini,17,,3,3
227,Complex,4.1 mini,4.1 mini,18,,3,3
227,Complex,4.1 mini,4.1 mini,19,,3,4
227,Complex,4.1 mini,4.1 mini,20,,3,3
229,Complex,4.1,haiku,1,1.0,1,1
229,Complex,4.1,haiku,2,1.0,1,1
229,Complex,4.1,haiku,3,2.0,2,2
229,Complex,4.1,haiku,4,1.0,1,1
229,Complex,4.1,haiku,5,,3,3
229,Complex,4.1,haiku,6,3.0,3,3
229,Complex,4.1,haiku,7,,3,3
229,Complex,4.1,haiku,8,,3,3
229,Complex,4.1,haiku,9,1.0,1,1
229,Complex,4.1,haiku,10,1.0,1,1
229,Complex,4.1,haiku,11,,3,3
229,Complex,4.1,haiku,12,,3,3
229,Complex,4.1,haiku,13,1.0,1,1
229,Complex,4.1,haiku,14,1.0,1,1
229,Complex,4.1,haiku,15,,3,3
229,Complex,4.1,haiku,16,1.0,1,1
229,Complex,4.1,haiku,17,3.0,3,3
229,Complex,4.1,haiku,18,,3,3
229,Complex,4.1,haiku,19,,3,3
229,Complex,4.1,haiku,20,,3,3
230,Complex,4.1 mini,haiku,1,1.0,1,1
230,Complex,4.1 mini,haiku,2,1.0,1,1
230,Complex,4.1 mini,haiku,3,1.0,1,2
230,Complex,4.1 mini,haiku,4,1.0,1,1
230,Complex,4.1 mini,haiku,5,2.0,2,2
230,Complex,4.1 mini,haiku,6,1.0,1,1
230,Complex,4.1 mini,haiku,7,1.0,1,1
230,Complex,4.1 mini,haiku,8,1.0,1,1
230,Complex,4.1 mini,haiku,9,,3,3
230,Complex,4.1 mini,haiku,10,1.0,1,1
230,Complex,4.1 mini,haiku,11,3.0,3,3
230,Complex,4.1 mini,haiku,12,3.0,3,3
230,Complex,4.1 mini,haiku,13,3.0,3,3
230,Complex,4.1 mini,haiku,14,3.0,3,3
230,Complex,4.1 mini,haiku,15,,3,3
230,Complex,4.1 mini,haiku,16,,3,3
230,Complex,4.1 mini,haiku,17,,3,3
230,Complex,4.1 mini,haiku,18,,3,3
230,Complex,4.1 mini,haiku,19,,3,3
230,Complex,4.1 mini,haiku,20,,3,3
231,Complex,haiku,sonnet,1,1.0,1,1
231,Complex,haiku,sonnet,2,1.0,1,1
231,Complex,haiku,sonnet,3,3.0,3,3
231,Complex,haiku,sonnet,4,1.0,1,1
231,Complex,haiku,sonnet,5,,3,4
231,Complex,haiku,sonnet,6,,3,4
231,Complex,haiku,sonnet,7,3.0,3,3
231,Complex,haiku,sonnet,8,,3,3
231,Complex,haiku,sonnet,9,,3,3
231,Complex,haiku,sonnet,10,,3,3
231,Complex,haiku,sonnet,11,,3,3
231,Complex,haiku,sonnet,12,,3,4
231,Complex,haiku,sonnet,13,,3,4
231,Complex,haiku,sonnet,14,,3,3
231,Complex,haiku,sonnet,15,,3,3
231,Complex,haiku,sonnet,16,,3,5
231,Complex,haiku,sonnet,17,,3,4
231,Complex,haiku,sonnet,18,,3,3
231,Complex,haiku,sonnet,19,,3,3
231,Complex,haiku,sonnet,20,,3,3
235,Complex,4.1,4.1,1,1.0,1,1
235,Complex,4.1,4.1,2,1.0,1,1
235,Complex,4.1,4.1,3,1.0,1,1
235,Complex,4.1,4.1,4,1.0,1,1
235,Complex,4.1,4.1,5,1.0,1,1
235,Complex,4.1,4.1,6,3.0,3,3
235,Complex,4.1,4.1,7,2.0,2,2
235,Complex,4.1,4.1,8,,3,3
235,Complex,4.1,4.1,9,,3,3
235,Complex,4.1,4.1,10,,3,3
235,Complex,4.1,4.1,11,1.0,1,1
235,Complex,4.1,4.1,12,1.0,1,1
235,Complex,4.1,4.1,13,,3,3
235,Complex,4.1,4.1,14,,3,3
235,Complex,4.1,4.1,15,,3,3
235,Complex,4.1,4.1,16,,3,3
235,Complex,4.1,4.1,17,3.0,3,3
235,Complex,4.1,4.1,18,3.0,3,3
235,Complex,4.1,4.1,19,,3,3
235,Complex,4.1,4.1,20,,3,3
236,Complex,4.1 mini,4.1,1,1.0,1,1
236,Complex,4.1 mini,4.1,2,2.0,2,2
236,Complex,4.1 mini,4.1,3,2.0,2,2
236,Complex,4.1 mini,4.1,4,2.0,2,2
236,Complex,4.1 mini,4.1,5,,3,3
236,Complex,4.1 mini,4.1,6,,3,3
236,Complex,4.1 mini,4.1,7,,3,3
236,Complex,4.1 mini,4.1,8,2.0,2,2
236,Complex,4.1 mini,4.1,9,1.0,1,1
236,Complex,4.1 mini,4.1,10,1.0,1,1
236,Complex,4.1 mini,4.1,11,3.0,3,3
236,Complex,4.1 mini,4.1,12,,3,3
236,Complex,4.1 mini,4.1,13,1.0,1,1
236,Complex,4.1 mini,4.1,14,2.0,2,2
236,Complex,4.1 mini,4.1,15,1.0,1,1
236,Complex,4.1 mini,4.1,16,2.0,2,2
