game_id,class_alias,attacker,defender,turn,success,compilable,attempts
223,Complex,haiku,4.1 mini,3,,,
223,Complex,haiku,4.1 mini,7,,,
223,Complex,haiku,4.1 mini,8,,,
223,Complex,haiku,4.1 mini,9,,,
223,Complex,haiku,4.1 mini,11,,,
223,Complex,haiku,4.1 mini,12,,,
223,Complex,haiku,4.1 mini,15,,,
223,Complex,haiku,4.1 mini,16,,,
223,Complex,haiku,4.1 mini,17,,,
223,Complex,haiku,4.1 mini,18,,,
223,Complex,haiku,4.1 mini,19,,,
223,Complex,haiku,4.1 mini,20,,,
223,Complex,haiku,4.1 mini,1,1.0,1.0,4.0
223,Complex,haiku,4.1 mini,2,,3.0,5.0
223,Complex,haiku,4.1 mini,4,,3.0,4.0
223,Complex,haiku,4.1 mini,5,,3.0,3.0
223,Complex,haiku,4.1 mini,6,,3.0,3.0
223,Complex,haiku,4.1 mini,10,,3.0,3.0
223,Complex,haiku,4.1 mini,13,2.0,2.0,2.0
223,Complex,haiku,4.1 mini,14,,3.0,3.0
227,Complex,4.1 mini,4.1 mini,8,,,
227,Complex,4.1 mini,4.1 mini,9,,,
227,Complex,4.1 mini,4.1 mini,10,,,
227,Complex,4.1 mini,4.1 mini,11,,,
227,Complex,4.1 mini,4.1 mini,12,,,
227,Complex,4.1 mini,4.1 mini,14,,,
227,Complex,4.1 mini,4.1 mini,15,,,
227,Complex,4.1 mini,4.1 mini,16,,,
227,Complex,4.1 mini,4.1 mini,17,,,
227,Complex,4.1 mini,4.1 mini,18,,,
227,Complex,4.1 mini,4.1 mini,19,,,
227,Complex,4.1 mini,4.1 mini,20,,,
227,Complex,4.1 mini,4.1 mini,1,,3.0,9.0
227,Complex,4.1 mini,4.1 mini,2,,3.0,10.0
227,Complex,4.1 mini,4.1 mini,3,2.0,1.0,8.0
227,Complex,4.1 mini,4.1 mini,4,,3.0,8.0
227,Complex,4.1 mini,4.1 mini,5,1.0,1.0,4.0
227,Complex,4.1 mini,4.1 mini,6,,2.0,7.0
227,Complex,4.1 mini,4.1 mini,7,1.0,1.0,2.0
227,Complex,4.1 mini,4.1 mini,13,3.0,3.0,3.0
229,Complex,4.1,haiku,5,,,
229,Complex,4.1,haiku,7,,,
229,Complex,4.1,haiku,8,,,
229,Complex,4.1,haiku,11,,,
229,Complex,4.1,haiku,12,,,
229,Complex,4.1,haiku,15,,,
229,Complex,4.1,haiku,18,,,
229,Complex,4.1,haiku,19,,,
229,Complex,4.1,haiku,20,,,
229,Complex,4.1,haiku,1,1.0,1.0,3.0
229,Complex,4.1,haiku,2,1.0,1.0,1.0
229,Complex,4.1,haiku,3,,1.0,12.0
229,Complex,4.1,haiku,4,,0.0,15.0
229,Complex,4.1,haiku,6,2.0,1.0,6.0
229,Complex,4.1,haiku,9,,1.0,14.0
229,Complex,4.1,haiku,10,,2.0,9.0
229,Complex,4.1,haiku,13,,0.0,15.0
229,Complex,4.1,haiku,14,1.0,1.0,4.0
229,Complex,4.1,haiku,16,2.0,2.0,6.0
229,Complex,4.1,haiku,17,,0.0,15.0
230,Complex,4.1 mini,haiku,9,,,
230,Complex,4.1 mini,haiku,15,,,
230,Complex,4.1 mini,haiku,16,,,
230,Complex,4.1 mini,haiku,17,,,
230,Complex,4.1 mini,haiku,18,,,
230,Complex,4.1 mini,haiku,19,,,
230,Complex,4.1 mini,haiku,20,,,
230,Complex,4.1 mini,haiku,1,,3.0,12.0
230,Complex,4.1 mini,haiku,2,1.0,1.0,3.0
230,Complex,4.1 mini,haiku,3,1.0,1.0,2.0
230,Complex,4.1 mini,haiku,4,,2.0,11.0
230,Complex,4.1 mini,haiku,5,,1.0,15.0
230,Complex,4.1 mini,haiku,6,2.0,1.0,9.0
230,Complex,4.1 mini,haiku,7,,1.0,13.0
230,Complex,4.1 mini,haiku,8,,1.0,14.0
230,Complex,4.1 mini,haiku,10,1.0,1.0,1.0
230,Complex,4.1 mini,haiku,11,2.0,1.0,9.0
230,Complex,4.1 mini,haiku,12,,1.0,11.0
230,Complex,4.1 mini,haiku,13,,1.0,12.0
230,Complex,4.1 mini,haiku,14,,0.0,15.0
231,Complex,haiku,sonnet,5,,,
231,Complex,haiku,sonnet,6,,,
231,Complex,haiku,sonnet,8,,,
231,Complex,haiku,sonnet,9,,,
231,Complex,haiku,sonnet,10,,,
231,Complex,haiku,sonnet,11,,,
231,Complex,haiku,sonnet,12,,,
231,Complex,haiku,sonnet,13,,,
231,Complex,haiku,sonnet,14,,,
231,Complex,haiku,sonnet,15,,,
231,Complex,haiku,sonnet,16,,,
231,Complex,haiku,sonnet,17,,,
231,Complex,haiku,sonnet,18,,,
231,Complex,haiku,sonnet,19,,,
231,Complex,haiku,sonnet,20,,,
231,Complex,haiku,sonnet,1,2.0,1.0,7.0
231,Complex,haiku,sonnet,2,,3.0,3.0
231,Complex,haiku,sonnet,3,,3.0,3.0
231,Complex,haiku,sonnet,4,,3.0,3.0
231,Complex,haiku,sonnet,7,,3.0,3.0
235,Complex,4.1,4.1,8,,,
235,Complex,4.1,4.1,9,,,
235,Complex,4.1,4.1,10,,,
235,Complex,4.1,4.1,13,,,
235,Complex,4.1,4.1,14,,,
235,Complex,4.1,4.1,15,,,
235,Complex,4.1,4.1,16,,,
235,Complex,4.1,4.1,19,,,
235,Complex,4.1,4.1,20,,,
235,Complex,4.1,4.1,1,,0.0,15.0
235,Complex,4.1,4.1,2,1.0,1.0,1.0
235,Complex,4.1,4.1,3,,3.0,4.0
235,Complex,4.1,4.1,4,1.0,1.0,2.0
235,Complex,4.1,4.1,5,1.0,1.0,1.0
235,Complex,4.1,4.1,6,,0.0,15.0
235,Complex,4.1,4.1,7,1.0,1.0,1.0
235,Complex,4.1,4.1,11,1.0,1.0,2.0
235,Complex,4.1,4.1,12,1.0,1.0,1.0
235,Complex,4.1,4.1,17,,3.0,7.0
235,Complex,4.1,4.1,18,,0.0,15.0
236,Complex,4.1 mini,4.1,5,,,
236,Complex,4.1 mini,4.1,6,,,
236,Complex,4.1 mini,4.1,7,,,
236,Complex,4.1 mini,4.1,12,,,
236,Complex,4.1 mini,4.1,17,,,
236,Complex,4.1 mini,4.1,19,,,
236,Complex,4.1 mini,4.1,1,,3.0,7.0
236,Complex,4.1 mini,4.1,2,,3.0,8.0
236,Complex,4.1 mini,4.1,3,,3.0,6.0
236,Complex,4.1 mini,4.1,4,,3.0,3.0
236,Complex,4.1 mini,4.1,8,,3.0,3.0
236,Complex,4.1 mini,4.1,9,,0.0,15.0
236,Complex,4.1 mini,4.1,10,1.0,1.0,3.0
236,Complex,4.1 mini,4.1,11,,3.0,4.0
236,Complex,4.1 mini,4.1,13,,2.0,8.0
236,Complex,4.1 mini,4.1,14,1.0,1.0,1.0
236,Complex,4.1 mini,4.1,15,1.0,1.0,1.0
236,Complex,4.1 mini,4.1,16,1.0,1.0,1.0
236,Complex,4.1 mini,4.1,18,,3.0,4.0
236,Complex,4.1 mini,4.1,20,2.0,2.0,5.0
237,Complex,haiku,haiku,4,,,
237,Complex,haiku,haiku,6,,,
237,Complex,haiku,haiku,7,,,
237,Complex,haiku,haiku,8,,,
237,Complex,haiku,haiku,9,,,
237,Complex,haiku,haiku,10,,,
237,Complex,haiku,haiku,11,,,
237,Complex,haiku,haiku,13,,,
237,Complex,haiku,haiku,14,,,
237,Complex,haiku,haiku,15,,,
237,Complex,haiku,haiku,16,,,
237,Complex,haiku,haiku,17,,,
237,Complex,haiku,haiku,18,,,
237,Complex,haiku,haiku,19,,,
237,Complex,haiku,haiku,20,,,
237,Complex,haiku,haiku,1,,3.0,8.0
237,Complex,haiku,haiku,2,,3.0,3.0
237,Complex,haiku,haiku,3,1.0,1.0,5.0
237,Complex,haiku,haiku,5,,3.0,8.0
237,Complex,haiku,haiku,12,,1.0,12.0
238,Complex,4.1 mini,sonnet,9,,,
238,Complex,4.1 mini,sonnet,10,,,
238,Complex,4.1 mini,sonnet,13,,,
238,Complex,4.1 mini,sonnet,14,,,
238,Complex,4.1 mini,sonnet,16,,,
238,Complex,4.1 mini,sonnet,17,,,
238,Complex,4.1 mini,sonnet,18,,,
238,Complex,4.1 mini,sonnet,20,,,
238,Complex,4.1 mini,sonnet,1,1.0,1.0,1.0
238,Complex,4.1 mini,sonnet,2,,3.0,3.0
238,Complex,4.1 mini,sonnet,3,,3.0,5.0
238,Complex,4.1 mini,sonnet,4,1.0,1.0,1.0
238,Complex,4.1 mini,sonnet,5,,3.0,6.0
238,Complex,4.1 mini,sonnet,6,,3.0,4.0
238,Complex,4.1 mini,sonnet,7,,0.0,15.0
238,Complex,4.1 mini,sonnet,8,1.0,1.0,1.0
238,Complex,4.1 mini,sonnet,11,,2.0,8.0
238,Complex,4.1 mini,sonnet,12,,3.0,3.0
238,Complex,4.1 mini,sonnet,15,,3.0,3.0
238,Complex,4.1 mini,sonnet,19,1.0,1.0,1.0
240,Complex,4.1,sonnet,2,,,
240,Complex,4.1,sonnet,7,,,
240,Complex,4.1,sonnet,10,,,
240,Complex,4.1,sonnet,11,,,
240,Complex,4.1,sonnet,13,,,
240,Complex,4.1,sonnet,16,,,
240,Complex,4.1,sonnet,17,,,
240,Complex,4.1,sonnet,18,,,
240,Complex,4.1,sonnet,19,,,
240,Complex,4.1,sonnet,20,,,
240,Complex,4.1,sonnet,1,1.0,1.0,1.0
240,Complex,4.1,sonnet,3,,3.0,3.0
240,Complex,4.1,sonnet,4,,3.0,3.0
240,Complex,4.1,sonnet,5,1.0,1.0,1.0
240,Complex,4.1,sonnet,6,1.0,1.0,1.0
240,Complex,4.1,sonnet,8,,3.0,3.0
240,Complex,4.1,sonnet,9,1.0,1.0,3.0
240,Complex,4.1,sonnet,12,1.0,1.0,1.0
240,Complex,4.1,sonnet,14,,0.0,15.0
240,Complex,4.1,sonnet,15,,3.0,3.0
241,Complex,4.1,4.1 mini,4,,,
241,Complex,4.1,4.1 mini,6,,,
241,Complex,4.1,4.1 mini,7,,,
241,Complex,4.1,4.1 mini,9,,,
241,Complex,4.1,4.1 mini,10,,,
241,Complex,4.1,4.1 mini,11,,,
241,Complex,4.1,4.1 mini,12,,,
241,Complex,4.1,4.1 mini,13,,,
241,Complex,4.1,4.1 mini,14,,,
241,Complex,4.1,4.1 mini,15,,,
241,Complex,4.1,4.1 mini,16,,,
241,Complex,4.1,4.1 mini,17,,,
241,Complex,4.1,4.1 mini,19,,,
241,Complex,4.1,4.1 mini,20,,,
241,Complex,4.1,4.1 mini,1,2.0,2.0,3.0
241,Complex,4.1,4.1 mini,2,2.0,2.0,2.0
241,Complex,4.1,4.1 mini,3,3.0,2.0,11.0
241,Complex,4.1,4.1 mini,5,1.0,1.0,1.0
241,Complex,4.1,4.1 mini,8,2.0,2.0,2.0
241,Complex,4.1,4.1 mini,18,1.0,1.0,2.0
242,Complex,haiku,4.1,3,,,
242,Complex,haiku,4.1,5,,,
242,Complex,haiku,4.1,6,,,
242,Complex,haiku,4.1,7,,,
242,Complex,haiku,4.1,8,,,
242,Complex,haiku,4.1,10,,,
242,Complex,haiku,4.1,11,,,
242,Complex,haiku,4.1,12,,,
242,Complex,haiku,4.1,13,,,
242,Complex,haiku,4.1,14,,,
242,Complex,haiku,4.1,15,,,
242,Complex,haiku,4.1,16,,,
242,Complex,haiku,4.1,17,,,
242,Complex,haiku,4.1,18,,,
242,Complex,haiku,4.1,1,3.0,1.0,12.0
242,Complex,haiku,4.1,2,,0.0,15.0
242,Complex,haiku,4.1,4,2.0,1.0,8.0
242,Complex,haiku,4.1,9,1.0,1.0,1.0
242,Complex,haiku,4.1,19,,3.0,4.0
242,Complex,haiku,4.1,20,,3.0,9.0
243,Complex,sonnet,haiku,3,,,
243,Complex,sonnet,haiku,4,,,
243,Complex,sonnet,haiku,5,,,
243,Complex,sonnet,haiku,7,,,
243,Complex,sonnet,haiku,9,,,
243,Complex,sonnet,haiku,10,,,
243,Complex,sonnet,haiku,11,,,
243,Complex,sonnet,haiku,12,,,
243,Complex,sonnet,haiku,13,,,
243,Complex,sonnet,haiku,14,,,
243,Complex,sonnet,haiku,15,,,
243,Complex,sonnet,haiku,16,,,
243,Complex,sonnet,haiku,17,,,
243,Complex,sonnet,haiku,18,,,
243,Complex,sonnet,haiku,19,,,
243,Complex,sonnet,haiku,20,,,
243,Complex,sonnet,haiku,1,,3.0,8.0
243,Complex,sonnet,haiku,2,,1.0,11.0
243,Complex,sonnet,haiku,6,,2.0,11.0
243,Complex,sonnet,haiku,8,,2.0,12.0
374,SparseIntArray,4.1 mini,4.1,4,,,
374,SparseIntArray,4.1 mini,4.1,6,,,
374,SparseIntArray,4.1 mini,4.1,10,,,
374,SparseIntArray,4.1 mini,4.1,14,,,
374,SparseIntArray,4.1 mini,4.1,16,,,
374,SparseIntArray,4.1 mini,4.1,19,,,
374,SparseIntArray,4.1 mini,4.1,20,,,
374,SparseIntArray,4.1 mini,4.1,1,1.0,1.0,1.0
374,SparseIntArray,4.1 mini,4.1,2,1.0,1.0,1.0
374,SparseIntArray,4.1 mini,4.1,3,,3.0,3.0
374,SparseIntArray,4.1 mini,4.1,5,,3.0,3.0
374,SparseIntArray,4.1 mini,4.1,7,1.0,1.0,1.0
374,SparseIntArray,4.1 mini,4.1,8,,3.0,3.0
374,SparseIntArray,4.1 mini,4.1,9,1.0,1.0,1.0
374,SparseIntArray,4.1 mini,4.1,11,1.0,1.0,1.0
374,SparseIntArray,4.1 mini,4.1,12,1.0,1.0,1.0
374,SparseIntArray,4.1 mini,4.1,13,,3.0,3.0
374,SparseIntArray,4.1 mini,4.1,15,,3.0,3.0
374,SparseIntArray,4.1 mini,4.1,17,,3.0,3.0
374,SparseIntArray,4.1 mini,4.1,18,,3.0,3.0
375,SparseIntArray,sonnet,4.1,3,,,
375,SparseIntArray,sonnet,4.1,4,,,
375,SparseIntArray,sonnet,4.1,5,,,
375,SparseIntArray,sonnet,4.1,6,,,
375,SparseIntArray,sonnet,4.1,7,,,
375,SparseIntArray,sonnet,4.1,8,,,
375,SparseIntArray,sonnet,4.1,9,,,
375,SparseIntArray,sonnet,4.1,10,,,
375,SparseIntArray,sonnet,4.1,11,,,
375,SparseIntArray,sonnet,4.1,12,,,
375,SparseIntArray,sonnet,4.1,13,,,
375,SparseIntArray,sonnet,4.1,14,,,
375,SparseIntArray,sonnet,4.1,15,,,
375,SparseIntArray,sonnet,4.1,16,,,
375,SparseIntArray,sonnet,4.1,17,,,
375,SparseIntArray,sonnet,4.1,18,,,
375,SparseIntArray,sonnet,4.1,19,,,
375,SparseIntArray,sonnet,4.1,20,,,
375,SparseIntArray,sonnet,4.1,1,1.0,1.0,1.0
375,SparseIntArray,sonnet,4.1,2,,1.0,11.0
376,SparseIntArray,4.1 mini,4.1 mini,7,,,
376,SparseIntArray,4.1 mini,4.1 mini,15,,,
376,SparseIntArray,4.1 mini,4.1 mini,17,,,
376,SparseIntArray,4.1 mini,4.1 mini,19,,,
376,SparseIntArray,4.1 mini,4.1 mini,20,,,
376,SparseIntArray,4.1 mini,4.1 mini,1,1.0,1.0,1.0
376,SparseIntArray,4.1 mini,4.1 mini,2,1.0,1.0,1.0
376,SparseIntArray,4.1 mini,4.1 mini,3,1.0,1.0,1.0
376,SparseIntArray,4.1 mini,4.1 mini,4,1.0,1.0,1.0
376,SparseIntArray,4.1 mini,4.1 mini,5,1.0,1.0,1.0
376,SparseIntArray,4.1 mini,4.1 mini,6,,3.0,3.0
376,SparseIntArray,4.1 mini,4.1 mini,8,1.0,1.0,1.0
376,SparseIntArray,4.1 mini,4.1 mini,9,1.0,1.0,5.0
376,SparseIntArray,4.1 mini,4.1 mini,10,,3.0,3.0
376,SparseIntArray,4.1 mini,4.1 mini,11,,3.0,3.0
376,SparseIntArray,4.1 mini,4.1 mini,12,,3.0,3.0
376,SparseIntArray,4.1 mini,4.1 mini,13,,3.0,3.0
376,SparseIntArray,4.1 mini,4.1 mini,14,1.0,1.0,1.0
376,SparseIntArray,4.1 mini,4.1 mini,16,,3.0,3.0
376,SparseIntArray,4.1 mini,4.1 mini,18,,3.0,3.0
377,SparseIntArray,4.1 mini,haiku,7,,,
377,SparseIntArray,4.1 mini,haiku,8,,,
377,SparseIntArray,4.1 mini,haiku,12,,,
377,SparseIntArray,4.1 mini,haiku,15,,,
377,SparseIntArray,4.1 mini,haiku,16,,,
377,SparseIntArray,4.1 mini,haiku,20,,,
377,SparseIntArray,4.1 mini,haiku,1,2.0,1.0,10.0
377,SparseIntArray,4.1 mini,haiku,2,1.0,1.0,1.0
377,SparseIntArray,4.1 mini,haiku,3,,3.0,4.0
377,SparseIntArray,4.1 mini,haiku,4,,2.0,9.0
377,SparseIntArray,4.1 mini,haiku,5,,3.0,4.0
377,SparseIntArray,4.1 mini,haiku,6,,3.0,3.0
377,SparseIntArray,4.1 mini,haiku,9,,3.0,8.0
377,SparseIntArray,4.1 mini,haiku,10,2.0,2.0,2.0
377,SparseIntArray,4.1 mini,haiku,11,1.0,1.0,1.0
377,SparseIntArray,4.1 mini,haiku,13,,3.0,3.0
377,SparseIntArray,4.1 mini,haiku,14,,3.0,8.0
377,SparseIntArray,4.1 mini,haiku,17,,3.0,4.0
377,SparseIntArray,4.1 mini,haiku,18,,3.0,3.0
377,SparseIntArray,4.1 mini,haiku,19,,3.0,5.0
379,SparseIntArray,sonnet,haiku,3,,,
379,SparseIntArray,sonnet,haiku,4,,,
379,SparseIntArray,sonnet,haiku,5,,,
379,SparseIntArray,sonnet,haiku,6,,,
379,SparseIntArray,sonnet,haiku,7,,,
379,SparseIntArray,sonnet,haiku,8,,,
379,SparseIntArray,sonnet,haiku,9,,,
379,SparseIntArray,sonnet,haiku,10,,,
379,SparseIntArray,sonnet,haiku,11,,,
379,SparseIntArray,sonnet,haiku,12,,,
379,SparseIntArray,sonnet,haiku,13,,,
379,SparseIntArray,sonnet,haiku,14,,,
379,SparseIntArray,sonnet,haiku,15,,,
379,SparseIntArray,sonnet,haiku,16,,,
379,SparseIntArray,sonnet,haiku,17,,,
379,SparseIntArray,sonnet,haiku,18,,,
379,SparseIntArray,sonnet,haiku,19,,,
379,SparseIntArray,sonnet,haiku,20,,,
379,SparseIntArray,sonnet,haiku,1,,3.0,6.0
379,SparseIntArray,sonnet,haiku,2,1.0,1.0,1.0
380,SparseIntArray,4.1,4.1,5,,,
380,SparseIntArray,4.1,4.1,6,,,
380,SparseIntArray,4.1,4.1,7,,,
380,SparseIntArray,4.1,4.1,8,,,
380,SparseIntArray,4.1,4.1,9,,,
380,SparseIntArray,4.1,4.1,10,,,
380,SparseIntArray,4.1,4.1,11,,,
380,SparseIntArray,4.1,4.1,12,,,
380,SparseIntArray,4.1,4.1,13,,,
380,SparseIntArray,4.1,4.1,14,,,
380,SparseIntArray,4.1,4.1,15,,,
380,SparseIntArray,4.1,4.1,16,,,
380,SparseIntArray,4.1,4.1,17,,,
380,SparseIntArray,4.1,4.1,19,,,
380,SparseIntArray,4.1,4.1,1,1.0,1.0,1.0
380,SparseIntArray,4.1,4.1,2,,3.0,3.0
