class_alias,attacker,defender,mut_live_attempts,mut_compiles_attempts,mut_compiles_failure,test_killing_attempts,test_compiles_attempts,test_compiles_failure
ByteVector,4.1,4.1,1.3125,1.3,0.0,1.2727272727272727,1.523809523809524,0.5625
ByteVector,4.1,4.1 mini,1.411764705882353,1.6,0.25,1.0,1.6862745098039214,0.11764705882352941
ByteVector,4.1,flash,,2.541666666666667,0.55,,,
ByteVector,4.1,haiku,1.0,1.4833333333333334,0.2,1.0,1.5,2.0
ByteVector,4.1,pro,,2.4333333333333336,0.35,,,
ByteVector,4.1,sonnet,1.0,1.8083333333333331,0.45,1.5,1.75,0.0
ByteVector,4.1 mini,4.1,1.9,1.1333333333333333,0.0,1.2,1.2333333333333332,0.1
ByteVector,4.1 mini,4.1 mini,1.6428571428571428,1.1,0.0,1.25,1.0714285714285714,0.07142857142857142
ByteVector,4.1 mini,flash,,2.8461538461538463,2.3,,,
ByteVector,4.1 mini,haiku,1.7142857142857142,1.1166666666666667,0.0,1.0,1.858974358974359,1.0
ByteVector,4.1 mini,pro,,2.5,2.05,,,
ByteVector,4.1 mini,sonnet,1.631578947368421,1.0,0.0,1.0,2.2857142857142856,1.894736842105263
ByteVector,flash,4.1,,3.6666666666666665,2.55,,,
ByteVector,flash,4.1 mini,,2.4285714285714284,2.6,,,
ByteVector,flash,flash,,3.033333333333333,2.3,,,
ByteVector,flash,haiku,,3.2777777777777777,2.5,,,
ByteVector,flash,pro,,2.9,2.4,,,
ByteVector,flash,sonnet,,3.5833333333333335,2.65,,,
ByteVector,haiku,4.1,1.7142857142857142,1.15,0.0,1.0,1.0,0.0
ByteVector,haiku,4.1 mini,1.6875,1.0,0.0,1.25,1.1041666666666667,0.0
ByteVector,haiku,flash,1.0,2.7604166666666665,1.7,1.0,2.0,0.0
ByteVector,haiku,haiku,1.3333333333333333,1.2583333333333333,0.0,1.0,2.583333333333333,1.9333333333333333
ByteVector,haiku,pro,,2.833333333333333,1.3,,,
ByteVector,haiku,sonnet,1.0526315789473684,1.2,0.0,1.0,1.3958333333333333,0.5789473684210527
ByteVector,pro,4.1,,2.25,2.6,,,
ByteVector,pro,4.1 mini,,3.375,2.6,,,
ByteVector,pro,flash,,3.75,2.8,,,
ByteVector,pro,haiku,,3.0,2.75,,,
ByteVector,pro,pro,,3.0833333333333335,2.7,,,
ByteVector,pro,sonnet,,2.8,2.75,,,
ByteVector,sonnet,4.1,1.0833333333333333,1.625,0.25,2.0,1.513888888888889,0.0
ByteVector,sonnet,4.1 mini,1.1,1.9791666666666667,0.75,1.5,1.4000000000000001,0.0
ByteVector,sonnet,flash,,1.0833333333333335,0.0,,,
ByteVector,sonnet,haiku,1.1428571428571428,2.0454545454545454,1.75,,2.238095238095238,0.7142857142857143
ByteVector,sonnet,pro,,1.1,0.0,,,
ByteVector,sonnet,sonnet,1.1666666666666667,1.9285714285714286,2.1,,1.111111111111111,1.5
CaseInsensitiveString,4.1,4.1,1.5625,1.275,0.05,1.0,1.0833333333333333,0.0625
CaseInsensitiveString,4.1,4.1 mini,1.3888888888888888,1.0166666666666666,0.0,1.0,1.574074074074074,0.2222222222222222
CaseInsensitiveString,4.1,flash,1.2857142857142858,1.375,0.0,1.25,1.8181818181818181,0.8571428571428571
CaseInsensitiveString,4.1,haiku,1.631578947368421,1.4083333333333334,0.0,1.0,2.0789473684210527,0.47368421052631576
CaseInsensitiveString,4.1,pro,1.368421052631579,1.2083333333333333,0.0,1.0,2.3333333333333335,1.3157894736842106
CaseInsensitiveString,4.1,sonnet,1.0,1.15,0.0,1.0,1.2,2.35
CaseInsensitiveString,4.1 mini,4.1,1.8571428571428572,1.0,0.0,1.0,1.238095238095238,0.0
CaseInsensitiveString,4.1 mini,4.1 mini,1.6923076923076923,1.0,0.0,1.6666666666666667,1.4393939393939394,0.6153846153846154
CaseInsensitiveString,4.1 mini,flash,2.142857142857143,1.05,0.0,1.0,1.3333333333333333,0.7142857142857143
CaseInsensitiveString,4.1 mini,haiku,1.5,1.0,0.0,1.0,1.6458333333333333,0.625
CaseInsensitiveString,4.1 mini,pro,1.4,1.0,0.0,1.0,2.2,0.0
CaseInsensitiveString,4.1 mini,sonnet,1.25,1.0,0.0,1.0,1.25,1.5
CaseInsensitiveString,flash,4.1,1.3,1.9833333333333332,0.1,1.5,1.7083333333333335,0.65
CaseInsensitiveString,flash,4.1 mini,1.263157894736842,1.9666666666666663,0.15,1.6666666666666667,2.157407407407407,0.5263157894736842
CaseInsensitiveString,flash,flash,1.1666666666666667,1.9916666666666667,0.3,1.1333333333333333,1.6176470588235294,0.3888888888888889
CaseInsensitiveString,flash,haiku,1.105263157894737,2.05,0.2,1.0,2.8611111111111107,1.0
CaseInsensitiveString,flash,pro,1.411764705882353,2.275,0.2,1.0,1.196078431372549,0.17647058823529413
CaseInsensitiveString,flash,sonnet,1.2,1.7333333333333332,0.05,1.0,1.8333333333333333,2.0
CaseInsensitiveString,haiku,4.1,1.5555555555555556,1.0166666666666666,0.0,2.0,1.4509803921568627,0.16666666666666666
CaseInsensitiveString,haiku,4.1 mini,1.2105263157894737,1.05,0.0,1.25,2.0392156862745097,0.7368421052631579
CaseInsensitiveString,haiku,flash,1.7142857142857142,1.3666666666666665,0.0,1.125,1.7727272727272727,0.9285714285714286
CaseInsensitiveString,haiku,haiku,1.55,1.05,0.0,1.0,2.7941176470588234,1.3
CaseInsensitiveString,haiku,pro,1.2666666666666666,1.0,0.0,1.1666666666666667,2.2857142857142856,1.8
CaseInsensitiveString,haiku,sonnet,1.3,1.05,0.0,,1.3,1.9
CaseInsensitiveString,pro,4.1,1.0833333333333333,1.71875,1.2,1.3333333333333333,1.5666666666666669,0.5833333333333334
CaseInsensitiveString,pro,4.1 mini,1.0769230769230769,1.8245614035087718,0.75,1.25,1.4545454545454546,0.6923076923076923
CaseInsensitiveString,pro,flash,1.0769230769230769,2.5833333333333335,0.8,1.0,1.0833333333333333,0.3076923076923077
CaseInsensitiveString,pro,haiku,1.2666666666666666,2.1470588235294117,0.85,1.75,2.0999999999999996,0.6
CaseInsensitiveString,pro,pro,1.1333333333333333,2.25,1.15,1.0,1.3571428571428572,0.26666666666666666
