Classname,game_id,SetupID,MutantID,turn,attempt,submission
Complex,223,setup_2,10338,1,1,2
Complex,223,setup_2,10461,2,1,2
Complex,223,setup_2,10772,4,3,1
Complex,223,setup_2,10831,5,1,1
Complex,223,setup_2,11021,6,2,2
Complex,223,setup_2,11402,10,1,1
Complex,223,setup_2,11736,13,3,1
Complex,223,setup_2,11837,14,3,1
Complex,227,setup_14,10371,1,1,1
Complex,227,setup_14,10500,2,1,1
Complex,227,setup_14,10691,3,1,1
Complex,227,setup_14,10822,4,1,1
Complex,227,setup_14,10892,5,1,1
Complex,227,setup_14,11096,6,2,1
Complex,227,setup_14,11173,7,1,2
Complex,227,setup_14,11793,13,1,1
Complex,229,setup_18,10318,1,1,1
Complex,229,setup_18,10335,2,1,1
Complex,229,setup_18,10522,3,2,1
Complex,229,setup_18,10733,4,1,1
Complex,229,setup_18,10911,6,3,1
Complex,229,setup_18,11198,9,1,1
Complex,229,setup_18,11325,10,1,1
Complex,229,setup_18,11605,13,1,1
Complex,229,setup_18,11664,14,1,1
Complex,229,setup_18,11783,16,1,1
Complex,229,setup_18,11981,17,3,1
Complex,230,setup_12,10421,1,1,1
Complex,230,setup_12,10477,2,1,1
Complex,230,setup_12,10675,3,1,2
Complex,230,setup_12,10790,4,1,1
Complex,230,setup_12,11035,5,2,1
Complex,230,setup_12,11133,6,1,1
Complex,230,setup_12,11293,7,1,1
Complex,230,setup_12,11415,8,1,1
Complex,230,setup_12,11551,10,1,1
Complex,230,setup_12,11770,11,3,1
Complex,230,setup_12,11961,12,3,1
Complex,230,setup_12,12125,13,3,1
Complex,230,setup_12,12318,14,3,1
Complex,231,setup_1,10360,1,1,1
Complex,231,setup_1,10450,2,1,1
Complex,231,setup_1,10680,3,3,1
Complex,231,setup_1,10888,4,1,1
Complex,231,setup_1,11321,7,3,1
Complex,235,setup_21,10392,1,1,1
Complex,235,setup_21,10442,2,1,1
Complex,235,setup_21,10481,3,1,1
Complex,235,setup_21,10653,4,1,1
Complex,235,setup_21,10689,5,1,1
Complex,235,setup_21,10844,6,3,1
Complex,235,setup_21,10919,7,2,1
Complex,235,setup_21,11218,11,1,1
Complex,235,setup_21,11307,12,1,1
Complex,235,setup_21,11710,17,3,1
Complex,235,setup_21,11928,18,3,1
Complex,236,setup_15,10352,1,1,1
Complex,236,setup_15,10512,2,2,1
Complex,236,setup_15,10763,3,2,1
Complex,236,setup_15,10879,4,2,1
Complex,236,setup_15,11381,8,2,1
Complex,236,setup_15,11498,9,1,1
Complex,236,setup_15,11547,10,1,1
Complex,236,setup_15,11723,11,3,1
Complex,236,setup_15,11910,13,1,1
Complex,236,setup_15,12001,14,2,1
Complex,236,setup_15,12038,15,1,1
Complex,236,setup_15,12098,16,2,1
