Classname,SetupID,MutantID,Compiled,KilledByXTests,KillingTests
Rational,setup_66,99412,true,35,org.example.testrational.game135.player25.TestRational18;org.example.testrational.game135.player26.TestRational13;org.example.testrational.game135.player34.TestRational3;org.example.testrational.game136.player14.TestRational17;org.example.testrational.game136.player16.TestRational10;org.example.testrational.game136.player16.TestRational8;org.example.testrational.game137.player108.TestRational4;org.example.testrational.game140.player39.TestRational27;org.example.testrational.game140.player39.TestRational5;org.example.testrational.game140.player64.TestRational10;org.example.testrational.game140.player64.TestRational5;org.example.testrational.game140.player64.TestRational6;org.example.testrational.game140.player64.TestRational7;org.example.testrational.game141.player56.TestRational20;org.example.testrational.game141.player56.TestRational28;org.example.testrational.game144.player55.TestRational13;org.example.testrational.game144.player55.TestRational24;org.example.testrational.game144.player55.TestRational32;org.example.testrational.game144.player55.TestRational35;org.example.testrational.game144.player8.TestRational11;org.example.testrational.game144.player8.TestRational7;org.example.testrational.game145.player126.TestRational40;org.example.testrational.game145.player126.TestRational58;org.example.testrational.game145.player126.TestRational9;org.example.testrational.game145.player69.TestRational46;org.example.testrational.game146.player75.TestRational13;org.example.testrational.game146.player75.TestRational25;org.example.testrational.game146.player75.TestRational43;org.example.testrational.game147.player119.TestRational27;org.example.testrational.game147.player119.TestRational3;org.example.testrational.game147.player119.TestRational39;org.example.testrational.game148.player127.TestRational11;org.example.testrational.game149.player8.TestRational15;org.example.testrational.game149.player8.TestRational3;org.example.testrational.game149.player8.TestRational5
Rational,setup_66,101039,true,2,org.example.testrational.game140.player64.TestRational8;org.example.testrational.game145.player126.TestRational30
Rational,setup_66,99702,true,55,org.example.testrational.game135.player25.TestRational12;org.example.testrational.game135.player25.TestRational14;org.example.testrational.game135.player25.TestRational8;org.example.testrational.game135.player26.TestRational20;org.example.testrational.game135.player26.TestRational29;org.example.testrational.game135.player26.TestRational6;org.example.testrational.game135.player26.TestRational8;org.example.testrational.game136.player14.TestRational38;org.example.testrational.game136.player16.TestRational13;org.example.testrational.game136.player9.TestRational12;org.example.testrational.game136.player9.TestRational3;org.example.testrational.game138.player134.TestRational2;org.example.testrational.game138.player18.TestRational2;org.example.testrational.game138.player18.TestRational7;org.example.testrational.game140.player117.TestRational20;org.example.testrational.game140.player39.TestRational12;org.example.testrational.game140.player39.TestRational15;org.example.testrational.game140.player39.TestRational22;org.example.testrational.game140.player39.TestRational25;org.example.testrational.game141.player115.TestRational28;org.example.testrational.game141.player56.TestRational11;org.example.testrational.game141.player56.TestRational22;org.example.testrational.game142.player50.TestRational31;org.example.testrational.game142.player50.TestRational36;org.example.testrational.game143.player113.TestRational22;org.example.testrational.game143.player113.TestRational4;org.example.testrational.game143.player142.TestRational10;org.example.testrational.game143.player60.TestRational33;org.example.testrational.game143.player60.TestRational5;org.example.testrational.game145.player123.TestRational2;org.example.testrational.game145.player126.TestRational20;org.example.testrational.game145.player126.TestRational27;org.example.testrational.game145.player126.TestRational40;org.example.testrational.game145.player126.TestRational52;org.example.testrational.game145.player126.TestRational58;org.example.testrational.game145.player126.TestRational9;org.example.testrational.game145.player69.TestRational59;org.example.testrational.game146.player128.TestRational17;org.example.testrational.game146.player75.TestRational17;org.example.testrational.game146.player75.TestRational2;org.example.testrational.game146.player75.TestRational30;org.example.testrational.game146.player75.TestRational38;org.example.testrational.game146.player75.TestRational39;org.example.testrational.game146.player75.TestRational55;org.example.testrational.game146.player75.TestRational6;org.example.testrational.game147.player119.TestRational18;org.example.testrational.game147.player119.TestRational26;org.example.testrational.game147.player119.TestRational29;org.example.testrational.game147.player119.TestRational4;org.example.testrational.game147.player119.TestRational9;org.example.testrational.game148.player122.TestRational16;org.example.testrational.game148.player122.TestRational26;org.example.testrational.game148.player122.TestRational43;org.example.testrational.game148.player127.TestRational25;org.example.testrational.game149.player8.TestRational9
Rational,setup_66,99772,true,31,org.example.testrational.game129.player151.TestRational8;org.example.testrational.game135.player25.TestRational2;org.example.testrational.game136.player9.TestRational18;org.example.testrational.game137.player132.TestRational8;org.example.testrational.game138.player134.TestRational12;org.example.testrational.game138.player134.TestRational13;org.example.testrational.game138.player134.TestRational5;org.example.testrational.game140.player117.TestRational8;org.example.testrational.game140.player39.TestRational13;org.example.testrational.game140.player39.TestRational23;org.example.testrational.game140.player39.TestRational9;org.example.testrational.game140.player64.TestRational16;org.example.testrational.game140.player64.TestRational2;org.example.testrational.game140.player64.TestRational31;org.example.testrational.game140.player64.TestRational34;org.example.testrational.game141.player115.TestRational16;org.example.testrational.game141.player56.TestRational22;org.example.testrational.game141.player56.TestRational41;org.example.testrational.game141.player56.TestRational5;org.example.testrational.game142.player50.TestRational16;org.example.testrational.game143.player113.TestRational16;org.example.testrational.game143.player113.TestRational22;org.example.testrational.game143.player142.TestRational15;org.example.testrational.game143.player60.TestRational18;org.example.testrational.game144.player8.TestRational9;org.example.testrational.game145.player69.TestRational59;org.example.testrational.game146.player90.TestRational15;org.example.testrational.game147.player119.TestRational12;org.example.testrational.game148.player127.TestRational39;org.example.testrational.game148.player127.TestRational46;org.example.testrational.game148.player79.TestRational17
Rational,setup_66,99707,true,7,org.example.testrational.game140.player64.TestRational21;org.example.testrational.game142.player112.TestRational33;org.example.testrational.game145.player84.TestRational21;org.example.testrational.game145.player84.TestRational26;org.example.testrational.game145.player84.TestRational5;org.example.testrational.game146.player75.TestRational24;org.example.testrational.game146.player90.TestRational9
Rational,setup_66,99510,true,35,org.example.testrational.game135.player25.TestRational18;org.example.testrational.game135.player26.TestRational13;org.example.testrational.game135.player34.TestRational3;org.example.testrational.game136.player14.TestRational17;org.example.testrational.game136.player16.TestRational10;org.example.testrational.game136.player16.TestRational8;org.example.testrational.game137.player108.TestRational4;org.example.testrational.game140.player39.TestRational27;org.example.testrational.game140.player39.TestRational5;org.example.testrational.game140.player64.TestRational10;org.example.testrational.game140.player64.TestRational5;org.example.testrational.game140.player64.TestRational6;org.example.testrational.game140.player64.TestRational7;org.example.testrational.game141.player56.TestRational20;org.example.testrational.game141.player56.TestRational28;org.example.testrational.game144.player55.TestRational13;org.example.testrational.game144.player55.TestRational24;org.example.testrational.game144.player55.TestRational32;org.example.testrational.game144.player55.TestRational35;org.example.testrational.game144.player8.TestRational11;org.example.testrational.game144.player8.TestRational7;org.example.testrational.game145.player126.TestRational40;org.example.testrational.game145.player126.TestRational58;org.example.testrational.game145.player126.TestRational9;org.example.testrational.game145.player69.TestRational46;org.example.testrational.game146.player75.TestRational13;org.example.testrational.game146.player75.TestRational25;org.example.testrational.game146.player75.TestRational43;org.example.testrational.game147.player119.TestRational27;org.example.testrational.game147.player119.TestRational3;org.example.testrational.game147.player119.TestRational39;org.example.testrational.game148.player127.TestRational11;org.example.testrational.game149.player8.TestRational15;org.example.testrational.game149.player8.TestRational3;org.example.testrational.game149.player8.TestRational5
Rational,setup_66,99976,true,26,org.example.testrational.game135.player34.TestRational8;org.example.testrational.game140.player117.TestRational5;org.example.testrational.game140.player39.TestRational4;org.example.testrational.game140.player39.TestRational8;org.example.testrational.game140.player39.TestRational9;org.example.testrational.game140.player64.TestRational8;org.example.testrational.game141.player115.TestRational15;org.example.testrational.game141.player56.TestRational23;org.example.testrational.game142.player112.TestRational26;org.example.testrational.game142.player50.TestRational23;org.example.testrational.game143.player113.TestRational13;org.example.testrational.game143.player113.TestRational18;org.example.testrational.game143.player60.TestRational10;org.example.testrational.game144.player139.TestRational3;org.example.testrational.game144.player57.TestRational3;org.example.testrational.game145.player123.TestRational11;org.example.testrational.game145.player126.TestRational2;org.example.testrational.game145.player126.TestRational30;org.example.testrational.game145.player84.TestRational12;org.example.testrational.game145.player84.TestRational38;org.example.testrational.game146.player75.TestRational29;org.example.testrational.game146.player90.TestRational2;org.example.testrational.game146.player90.TestRational6;org.example.testrational.game147.player119.TestRational16;org.example.testrational.game147.player85.TestRational7;org.example.testrational.game149.player82.TestRational5
Rational,setup_66,100731,true,58,org.example.testrational.game129.player151.TestRational27;org.example.testrational.game135.player25.TestRational12;org.example.testrational.game135.player25.TestRational14;org.example.testrational.game135.player26.TestRational10;org.example.testrational.game135.player26.TestRational8;org.example.testrational.game136.player14.TestRational18;org.example.testrational.game136.player14.TestRational3;org.example.testrational.game136.player14.TestRational5;org.example.testrational.game136.player9.TestRational11;org.example.testrational.game136.player9.TestRational19;org.example.testrational.game136.player9.TestRational20;org.example.testrational.game136.player9.TestRational3;org.example.testrational.game137.player132.TestRational7;org.example.testrational.game138.player134.TestRational8;org.example.testrational.game138.player150.TestRational9;org.example.testrational.game140.player117.TestRational21;org.example.testrational.game140.player117.TestRational7;org.example.testrational.game140.player39.TestRational12;org.example.testrational.game140.player39.TestRational13;org.example.testrational.game140.player39.TestRational22;org.example.testrational.game140.player39.TestRational25;org.example.testrational.game140.player39.TestRational27;org.example.testrational.game140.player39.TestRational28;org.example.testrational.game140.player39.TestRational29;org.example.testrational.game140.player39.TestRational4;org.example.testrational.game140.player39.TestRational6;org.example.testrational.game140.player64.TestRational10;org.example.testrational.game140.player64.TestRational17;org.example.testrational.game140.player64.TestRational27;org.example.testrational.game141.player111.TestRational3;org.example.testrational.game141.player115.TestRational16;org.example.testrational.game141.player115.TestRational47;org.example.testrational.game141.player43.TestRational8;org.example.testrational.game141.player56.TestRational28;org.example.testrational.game141.player56.TestRational35;org.example.testrational.game141.player56.TestRational6;org.example.testrational.game142.player50.TestRational47;org.example.testrational.game143.player113.TestRational4;org.example.testrational.game143.player60.TestRational37;org.example.testrational.game144.player55.TestRational13;org.example.testrational.game144.player55.TestRational4;org.example.testrational.game144.player8.TestRational4;org.example.testrational.game144.player8.TestRational7;org.example.testrational.game145.player126.TestRational38;org.example.testrational.game145.player69.TestRational34;org.example.testrational.game145.player69.TestRational48;org.example.testrational.game146.player128.TestRational10;org.example.testrational.game146.player128.TestRational11;org.example.testrational.game146.player128.TestRational28;org.example.testrational.game146.player75.TestRational5;org.example.testrational.game146.player90.TestRational13;org.example.testrational.game147.player119.TestRational26;org.example.testrational.game147.player119.TestRational36;org.example.testrational.game148.player122.TestRational13;org.example.testrational.game148.player122.TestRational40;org.example.testrational.game148.player127.TestRational17;org.example.testrational.game148.player127.TestRational6;org.example.testrational.game149.player8.TestRational2
Rational,setup_66,99371,true,9,org.example.testrational.game136.player16.TestRational5;org.example.testrational.game137.player132.TestRational22;org.example.testrational.game140.player39.TestRational2;org.example.testrational.game140.player64.TestRational24;org.example.testrational.game141.player115.TestRational12;org.example.testrational.game141.player141.TestRational3;org.example.testrational.game143.player60.TestRational30;org.example.testrational.game145.player84.TestRational16;org.example.testrational.game149.player8.TestRational6
Rational,setup_68,101392,true,55,org.example.testrational.game135.player25.TestRational12;org.example.testrational.game135.player25.TestRational14;org.example.testrational.game135.player25.TestRational8;org.example.testrational.game135.player26.TestRational20;org.example.testrational.game135.player26.TestRational29;org.example.testrational.game135.player26.TestRational6;org.example.testrational.game135.player26.TestRational8;org.example.testrational.game136.player14.TestRational38;org.example.testrational.game136.player16.TestRational13;org.example.testrational.game136.player9.TestRational12;org.example.testrational.game136.player9.TestRational3;org.example.testrational.game138.player134.TestRational2;org.example.testrational.game138.player18.TestRational2;org.example.testrational.game138.player18.TestRational7;org.example.testrational.game140.player117.TestRational20;org.example.testrational.game140.player39.TestRational12;org.example.testrational.game140.player39.TestRational15;org.example.testrational.game140.player39.TestRational22;org.example.testrational.game140.player39.TestRational25;org.example.testrational.game141.player115.TestRational28;org.example.testrational.game141.player56.TestRational11;org.example.testrational.game141.player56.TestRational22;org.example.testrational.game142.player50.TestRational31;org.example.testrational.game142.player50.TestRational36;org.example.testrational.game143.player113.TestRational22;org.example.testrational.game143.player113.TestRational4;org.example.testrational.game143.player142.TestRational10;org.example.testrational.game143.player60.TestRational33;org.example.testrational.game143.player60.TestRational5;org.example.testrational.game145.player123.TestRational2;org.example.testrational.game145.player126.TestRational20;org.example.testrational.game145.player126.TestRational27;org.example.testrational.game145.player126.TestRational40;org.example.testrational.game145.player126.TestRational52;org.example.testrational.game145.player126.TestRational58;org.example.testrational.game145.player126.TestRational9;org.example.testrational.game145.player69.TestRational59;org.example.testrational.game146.player128.TestRational17;org.example.testrational.game146.player75.TestRational17;org.example.testrational.game146.player75.TestRational2;org.example.testrational.game146.player75.TestRational30;org.example.testrational.game146.player75.TestRational38;org.example.testrational.game146.player75.TestRational39;org.example.testrational.game146.player75.TestRational55;org.example.testrational.game146.player75.TestRational6;org.example.testrational.game147.player119.TestRational18;org.example.testrational.game147.player119.TestRational26;org.example.testrational.game147.player119.TestRational29;org.example.testrational.game147.player119.TestRational4;org.example.testrational.game147.player119.TestRational9;org.example.testrational.game148.player122.TestRational16;org.example.testrational.game148.player122.TestRational26;org.example.testrational.game148.player122.TestRational43;org.example.testrational.game148.player127.TestRational25;org.example.testrational.game149.player8.TestRational9
