class_alias,attacker,defender,score,mut_forfeit,mut_equivalent,mut_survived_turn,mut_survived_game
ByteVector,claude-3-5-haiku-latest,claude-3-5-haiku-latest,0.05,0.25,0.2,0.75,0.08333333333333333
ByteVector,claude-3-5-haiku-latest,claude-sonnet-4-0,0.05,0.050000000000000044,0.15789473684210525,0.625,0.0625
ByteVector,claude-3-5-haiku-latest,gemini-2.5-flash,0.0,0.95,0.0,0.0,0.0
ByteVector,claude-3-5-haiku-latest,gemini-2.5-pro,0.0,1.0,,,
ByteVector,claude-3-5-haiku-latest,gpt-4.1,0.0,0.30000000000000004,0.6428571428571429,0.2,0.0
ByteVector,claude-3-5-haiku-latest,gpt-4.1-mini,0.0,0.19999999999999996,0.625,0.3333333333333333,0.0
ByteVector,claude-sonnet-4-0,claude-3-5-haiku-latest,0.0,0.65,0.5714285714285714,1.0,0.0
ByteVector,claude-sonnet-4-0,claude-sonnet-4-0,0.0,0.7,0.3333333333333333,1.0,0.0
ByteVector,claude-sonnet-4-0,gemini-2.5-flash,0.0,1.0,,,
ByteVector,claude-sonnet-4-0,gemini-2.5-pro,0.0,1.0,,,
ByteVector,claude-sonnet-4-0,gpt-4.1,0.0,0.4,0.5833333333333334,0.8,0.0
ByteVector,claude-sonnet-4-0,gpt-4.1-mini,0.0,0.5,0.3,0.7142857142857143,0.0
ByteVector,gemini-2.5-flash,claude-3-5-haiku-latest,0.0,1.0,,,
ByteVector,gemini-2.5-flash,claude-sonnet-4-0,0.0,1.0,,,
ByteVector,gemini-2.5-flash,gemini-2.5-flash,0.0,1.0,,,
ByteVector,gemini-2.5-flash,gemini-2.5-pro,0.0,1.0,,,
ByteVector,gemini-2.5-flash,gpt-4.1,0.0,1.0,,,
ByteVector,gemini-2.5-flash,gpt-4.1-mini,0.0,1.0,,,
ByteVector,gemini-2.5-pro,claude-3-5-haiku-latest,0.0,1.0,,,
ByteVector,gemini-2.5-pro,claude-sonnet-4-0,0.0,1.0,,,
ByteVector,gemini-2.5-pro,gemini-2.5-flash,0.0,1.0,,,
ByteVector,gemini-2.5-pro,gemini-2.5-pro,0.0,1.0,,,
ByteVector,gemini-2.5-pro,gpt-4.1,0.0,1.0,,,
ByteVector,gemini-2.5-pro,gpt-4.1-mini,0.0,1.0,,,
ByteVector,gpt-4.1,claude-3-5-haiku-latest,0.0,0.8,0.0,0.75,0.0
ByteVector,gpt-4.1,claude-sonnet-4-0,0.0,0.9,0.0,0.0,0.0
ByteVector,gpt-4.1,gemini-2.5-flash,0.0,1.0,,,
ByteVector,gpt-4.1,gemini-2.5-pro,0.0,1.0,,,
