game_id,class_alias,attacker,defender,turn,mutant_id,forfeit,killed_immediately,killed_later,surviving,Classname,SetupID,MutantID,attempt,submission,equivalent
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,1,194.0,False,True,False,True,Complex,setup_2,10338.0,1.0,2.0,False
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,2,203.0,False,False,True,False,Complex,setup_2,10461.0,1.0,2.0,True
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,3,,True,,,,,,,,,
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,4,245.0,False,False,True,False,Complex,setup_2,10772.0,3.0,1.0,True
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,5,255.0,False,False,True,False,Complex,setup_2,10831.0,1.0,1.0,True
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,6,270.0,False,False,True,False,Complex,setup_2,11021.0,2.0,2.0,True
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,7,,True,,,,,,,,,
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,8,,True,,,,,,,,,
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,9,,True,,,,,,,,,
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,10,339.0,False,False,True,False,Complex,setup_2,11402.0,1.0,1.0,True
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,11,,True,,,,,,,,,
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,12,,True,,,,,,,,,
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,13,390.0,False,True,False,True,Complex,setup_2,11736.0,3.0,1.0,False
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,14,404.0,False,False,True,False,Complex,setup_2,11837.0,3.0,1.0,False
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,15,,True,,,,,,,,,
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,16,,True,,,,,,,,,
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,17,,True,,,,,,,,,
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,18,,True,,,,,,,,,
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,19,,True,,,,,,,,,
223,Complex,claude-3-5-haiku-latest,gpt-4.1-mini,20,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,1,193.0,False,False,False,True,Complex,setup_14,10371.0,1.0,1.0,False
227,Complex,gpt-4.1-mini,gpt-4.1-mini,2,210.0,False,False,False,True,Complex,setup_14,10500.0,1.0,1.0,False
227,Complex,gpt-4.1-mini,gpt-4.1-mini,3,232.0,False,True,False,True,Complex,setup_14,10691.0,1.0,1.0,False
227,Complex,gpt-4.1-mini,gpt-4.1-mini,4,247.0,False,False,False,True,Complex,setup_14,10822.0,1.0,1.0,False
227,Complex,gpt-4.1-mini,gpt-4.1-mini,5,263.0,False,True,False,True,Complex,setup_14,10892.0,1.0,1.0,False
227,Complex,gpt-4.1-mini,gpt-4.1-mini,6,279.0,False,False,False,True,Complex,setup_14,11096.0,2.0,1.0,False
227,Complex,gpt-4.1-mini,gpt-4.1-mini,7,302.0,False,True,False,True,Complex,setup_14,11173.0,1.0,2.0,False
227,Complex,gpt-4.1-mini,gpt-4.1-mini,8,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,9,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,10,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,11,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,12,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,13,397.0,False,True,False,True,Complex,setup_14,11793.0,1.0,1.0,False
227,Complex,gpt-4.1-mini,gpt-4.1-mini,14,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,15,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,16,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,17,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,18,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,19,,True,,,,,,,,,
227,Complex,gpt-4.1-mini,gpt-4.1-mini,20,,True,,,,,,,,,
229,Complex,gpt-4.1,claude-3-5-haiku-latest,1,182.0,False,True,False,True,Complex,setup_18,10318.0,1.0,1.0,False
229,Complex,gpt-4.1,claude-3-5-haiku-latest,2,195.0,False,True,False,True,Complex,setup_18,10335.0,1.0,1.0,False
229,Complex,gpt-4.1,claude-3-5-haiku-latest,3,211.0,False,False,False,True,Complex,setup_18,10522.0,2.0,1.0,False
229,Complex,gpt-4.1,claude-3-5-haiku-latest,4,230.0,False,False,True,False,Complex,setup_18,10733.0,1.0,1.0,False
229,Complex,gpt-4.1,claude-3-5-haiku-latest,5,,True,,,,,,,,,
229,Complex,gpt-4.1,claude-3-5-haiku-latest,6,265.0,False,True,False,True,Complex,setup_18,10911.0,3.0,1.0,False
229,Complex,gpt-4.1,claude-3-5-haiku-latest,7,,True,,,,,,,,,
229,Complex,gpt-4.1,claude-3-5-haiku-latest,8,,True,,,,,,,,,
229,Complex,gpt-4.1,claude-3-5-haiku-latest,9,296.0,False,False,False,True,Complex,setup_18,11198.0,1.0,1.0,False
229,Complex,gpt-4.1,claude-3-5-haiku-latest,10,316.0,False,False,False,True,Complex,setup_18,11325.0,1.0,1.0,False
229,Complex,gpt-4.1,claude-3-5-haiku-latest,11,,True,,,,,,,,,
229,Complex,gpt-4.1,claude-3-5-haiku-latest,12,,True,,,,,,,,,
229,Complex,gpt-4.1,claude-3-5-haiku-latest,13,360.0,False,False,True,False,Complex,setup_18,11605.0,1.0,1.0,False
229,Complex,gpt-4.1,claude-3-5-haiku-latest,14,376.0,False,True,False,True,Complex,setup_18,11664.0,1.0,1.0,False
229,Complex,gpt-4.1,claude-3-5-haiku-latest,15,,True,,,,,,,,,
229,Complex,gpt-4.1,claude-3-5-haiku-latest,16,395.0,False,True,False,True,Complex,setup_18,11783.0,1.0,1.0,False
229,Complex,gpt-4.1,claude-3-5-haiku-latest,17,408.0,False,False,True,False,Complex,setup_18,11981.0,3.0,1.0,False
229,Complex,gpt-4.1,claude-3-5-haiku-latest,18,,True,,,,,,,,,
229,Complex,gpt-4.1,claude-3-5-haiku-latest,19,,True,,,,,,,,,
229,Complex,gpt-4.1,claude-3-5-haiku-latest,20,,True,,,,,,,,,
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,1,189.0,False,False,True,False,Complex,setup_12,10421.0,1.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,2,218.0,False,True,False,True,Complex,setup_12,10477.0,1.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,3,228.0,False,True,False,True,Complex,setup_12,10675.0,1.0,2.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,4,241.0,False,False,True,False,Complex,setup_12,10790.0,1.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,5,261.0,False,False,True,False,Complex,setup_12,11035.0,2.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,6,285.0,False,True,False,True,Complex,setup_12,11133.0,1.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,7,304.0,False,False,True,False,Complex,setup_12,11293.0,1.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,8,329.0,False,False,True,False,Complex,setup_12,11415.0,1.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,9,,True,,,,,,,,,
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,10,369.0,False,True,False,True,Complex,setup_12,11551.0,1.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,11,388.0,False,True,False,True,Complex,setup_12,11770.0,3.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,12,407.0,False,False,True,False,Complex,setup_12,11961.0,3.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,13,427.0,False,False,True,False,Complex,setup_12,12125.0,3.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,14,442.0,False,False,True,False,Complex,setup_12,12318.0,3.0,1.0,False
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,15,,True,,,,,,,,,
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,16,,True,,,,,,,,,
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,17,,True,,,,,,,,,
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,18,,True,,,,,,,,,
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,19,,True,,,,,,,,,
230,Complex,gpt-4.1-mini,claude-3-5-haiku-latest,20,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,1,187.0,False,True,False,True,Complex,setup_1,10360.0,1.0,1.0,False
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,2,205.0,False,False,True,False,Complex,setup_1,10450.0,1.0,1.0,True
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,3,225.0,False,False,True,False,Complex,setup_1,10680.0,3.0,1.0,True
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,4,242.0,False,False,True,False,Complex,setup_1,10888.0,1.0,1.0,True
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,5,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,6,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,7,319.0,False,False,True,False,Complex,setup_1,11321.0,3.0,1.0,True
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,8,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,9,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,10,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,11,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,12,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,13,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,14,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,15,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,16,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,17,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,18,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,19,,True,,,,,,,,,
231,Complex,claude-3-5-haiku-latest,claude-sonnet-4-0,20,,True,,,,,,,,,
235,Complex,gpt-4.1,gpt-4.1,1,181.0,False,False,False,True,Complex,setup_21,10392.0,1.0,1.0,False
235,Complex,gpt-4.1,gpt-4.1,2,207.0,False,True,False,True,Complex,setup_21,10442.0,1.0,1.0,False
235,Complex,gpt-4.1,gpt-4.1,3,216.0,False,False,True,False,Complex,setup_21,10481.0,1.0,1.0,True
235,Complex,gpt-4.1,gpt-4.1,4,226.0,False,True,False,True,Complex,setup_21,10653.0,1.0,1.0,False
235,Complex,gpt-4.1,gpt-4.1,5,237.0,False,True,False,True,Complex,setup_21,10689.0,1.0,1.0,False
235,Complex,gpt-4.1,gpt-4.1,6,246.0,False,False,False,True,Complex,setup_21,10844.0,3.0,1.0,False
235,Complex,gpt-4.1,gpt-4.1,7,267.0,False,True,False,True,Complex,setup_21,10919.0,2.0,1.0,False
235,Complex,gpt-4.1,gpt-4.1,8,,True,,,,,,,,,
235,Complex,gpt-4.1,gpt-4.1,9,,True,,,,,,,,,
235,Complex,gpt-4.1,gpt-4.1,10,,True,,,,,,,,,
235,Complex,gpt-4.1,gpt-4.1,11,314.0,False,True,False,True,Complex,setup_21,11218.0,1.0,1.0,False
235,Complex,gpt-4.1,gpt-4.1,12,320.0,False,True,False,True,Complex,setup_21,11307.0,1.0,1.0,False
235,Complex,gpt-4.1,gpt-4.1,13,,True,,,,,,,,,
235,Complex,gpt-4.1,gpt-4.1,14,,True,,,,,,,,,
235,Complex,gpt-4.1,gpt-4.1,15,,True,,,,,,,,,
235,Complex,gpt-4.1,gpt-4.1,16,,True,,,,,,,,,
235,Complex,gpt-4.1,gpt-4.1,17,382.0,False,False,True,False,Complex,setup_21,11710.0,3.0,1.0,True
235,Complex,gpt-4.1,gpt-4.1,18,402.0,False,False,True,False,Complex,setup_21,11928.0,3.0,1.0,False
235,Complex,gpt-4.1,gpt-4.1,19,,True,,,,,,,,,
235,Complex,gpt-4.1,gpt-4.1,20,,True,,,,,,,,,
236,Complex,gpt-4.1-mini,gpt-4.1,1,192.0,False,False,True,False,Complex,setup_15,10352.0,1.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,2,217.0,False,False,True,False,Complex,setup_15,10512.0,2.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,3,243.0,False,False,False,True,Complex,setup_15,10763.0,2.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,4,259.0,False,False,True,False,Complex,setup_15,10879.0,2.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,5,,True,,,,,,,,,
236,Complex,gpt-4.1-mini,gpt-4.1,6,,True,,,,,,,,,
236,Complex,gpt-4.1-mini,gpt-4.1,7,,True,,,,,,,,,
236,Complex,gpt-4.1-mini,gpt-4.1,8,337.0,False,False,True,False,Complex,setup_15,11381.0,2.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,9,348.0,False,False,False,True,Complex,setup_15,11498.0,1.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,10,367.0,False,True,False,True,Complex,setup_15,11547.0,1.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,11,385.0,False,False,False,True,Complex,setup_15,11723.0,3.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,12,,True,,,,,,,,,
236,Complex,gpt-4.1-mini,gpt-4.1,13,405.0,False,False,False,True,Complex,setup_15,11910.0,1.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,14,421.0,False,True,False,True,Complex,setup_15,12001.0,2.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,15,424.0,False,True,False,True,Complex,setup_15,12038.0,1.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,16,431.0,False,True,False,True,Complex,setup_15,12098.0,2.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,17,,True,,,,,,,,,
236,Complex,gpt-4.1-mini,gpt-4.1,18,445.0,False,False,True,False,Complex,setup_15,12298.0,3.0,1.0,False
236,Complex,gpt-4.1-mini,gpt-4.1,19,,True,,,,,,,,,
236,Complex,gpt-4.1-mini,gpt-4.1,20,457.0,False,True,False,True,Complex,setup_15,12537.0,3.0,1.0,False
237,Complex,claude-3-5-haiku-latest,claude-3-5-haiku-latest,1,186.0,False,False,True,False,Complex,setup_0,10343.0,1.0,1.0,True
237,Complex,claude-3-5-haiku-latest,claude-3-5-haiku-latest,2,213.0,False,False,True,False,Complex,setup_0,10468.0,2.0,1.0,True
237,Complex,claude-3-5-haiku-latest,claude-3-5-haiku-latest,3,236.0,False,True,False,True,Complex,setup_0,10703.0,3.0,1.0,False
237,Complex,claude-3-5-haiku-latest,claude-3-5-haiku-latest,4,,True,,,,,,,,,
